key,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
801,RT @data_nerd: Pentaho Ends Machine Learning Gridlock | @BigDataExpo @Pentaho #ML #BigData https://t.co/NnI94HYRMT,FALSE,0,NA,14/03/2017 16:36,FALSE,NA,8.41689E+17,NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>",mikejulietbravo,2,TRUE,FALSE,NA,NA
802,Weka creator Mark Hall breaks down 4 steps to #machinelearning w/ Pentaho step by step in his latest blog post!… https://t.co/bThro17bZH,FALSE,39,NA,14/03/2017 16:35,TRUE,NA,8.41689E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",Pentaho,26,FALSE,FALSE,NA,NA
803,RT @BigDataExpo: Pentaho Ends Machine Learning Gridlock <U+25B8> https://t.co/dKd9vFfuWX @Pentaho #API #BigData #Analytics #DataScience #MachineLe…,FALSE,0,NA,14/03/2017 16:33,FALSE,NA,8.41689E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CloudJobFair,20,TRUE,FALSE,NA,NA
804,Pentaho pitches its integration platform as a machine learning aid - SiliconANGLE - https://t.co/09JueXyuWO,FALSE,0,NA,14/03/2017 16:32,FALSE,NA,8.41689E+17,NA,"<a href=""http://klout.com"" rel=""nofollow"">Post with Klout</a>",Robkishere,0,FALSE,FALSE,NA,NA
805,Pentaho Ends Machine Learning Gridlock | @BigDataExpo @Pentaho #ML #BigData https://t.co/NnI94HYRMT,FALSE,2,NA,14/03/2017 16:31,FALSE,NA,8.41688E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",data_nerd,2,FALSE,FALSE,NA,NA
806,RT @BigDataExpo: Pentaho Ends Machine Learning Gridlock <U+25B8> https://t.co/dKd9vFfuWX @Pentaho #API #BigData #Analytics #DataScience #MachineLe…,FALSE,0,NA,14/03/2017 16:30,FALSE,NA,8.41688E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ExpoAI,20,TRUE,FALSE,NA,NA
807,RT @AnalyticalJake: NEWS - @Pentaho ends #machinelearning gridlock with new orchestration capabilities! Read more: https://t.co/xOX4XC4tPA,FALSE,0,NA,14/03/2017 16:30,FALSE,NA,8.41688E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mrsakis,1,TRUE,FALSE,NA,NA
808,RT @BigDataExpo: Pentaho Ends Machine Learning Gridlock <U+25B8> https://t.co/dKd9vFfuWX @Pentaho #API #BigData #Analytics #DataScience #MachineLe…,FALSE,0,NA,14/03/2017 16:28,FALSE,NA,8.41687E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SYSCONmedia,20,TRUE,FALSE,NA,NA
809,Pentaho pitches its integration platform as a machine learning aid  RT @jose_garde  https://t.co/XoP9KhNobB,FALSE,1,NA,14/03/2017 16:23,FALSE,NA,8.41686E+17,NA,"<a href=""http://klout.com"" rel=""nofollow"">Post with Klout</a>",JoanIratxeta,0,FALSE,FALSE,NA,NA
810,"How To Train A Machine Brain, Pentaho's 4 Pillars Of AI #Boomers @forbes https://t.co/VlTU6Z2Gy2",FALSE,0,NA,14/03/2017 16:20,FALSE,NA,8.41686E+17,NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>",johntarnoff,0,FALSE,FALSE,NA,NA
811,"RT @tomangell: Wow, look at the huge drop in marijuana cases (in green) since the legalization era began in 2012. It’s working!

https://t.…",FALSE,0,NA,14/03/2017 16:20,FALSE,NA,8.41685E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ArturomonjeJ,17,TRUE,FALSE,NA,NA
812,"How To Train A Machine Brain, Pentaho's 4 Pillars Of AI: With machine learning residing at the heart of our new… https://t.co/4rj9P5kpn7",FALSE,0,NA,14/03/2017 16:16,FALSE,NA,8.41685E+17,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",ABElimited,0,FALSE,FALSE,NA,NA
813,"Infinity Consulting Solutions is hiring a ETL Developer in Chicago, IL #ETL #Pentaho https://t.co/C1Dq6UMhk5",FALSE,0,NA,14/03/2017 16:12,FALSE,NA,8.41683E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ChaseICS,0,FALSE,FALSE,NA,NA
814,Pentaho Ends Machine Learning Gridlock | BigDataExpo Pentaho #ML #BigData https://t.co/9w6DrxXnSQ more at https://t.co/TkoFbZGKH7,FALSE,0,NA,14/03/2017 16:11,FALSE,NA,8.41683E+17,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",iHarishPal,0,FALSE,FALSE,NA,NA
815,NEWS - @Pentaho ends #machinelearning gridlock with new orchestration capabilities! Read more: https://t.co/xOX4XC4tPA,FALSE,2,NA,14/03/2017 16:09,FALSE,NA,8.41683E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AnalyticalJake,1,FALSE,FALSE,NA,NA
816,"How To Train A Machine Brain, Pentaho's 4 Pillars Of AI
#Marketing #SEO #Inbound #Gamedev #fouad47 #indiegame 
https://t.co/btCnB3CR5s",FALSE,0,NA,14/03/2017 16:06,FALSE,NA,8.41682E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",fouad47,0,FALSE,FALSE,NA,NA
817,RT @rshomair: NEWS today from @Pentaho--&gt;Pentaho Ends Machine Learning Gridlock. Learn the 4 key steps https://t.co/iJgR3SIcxQ https://t.co…,FALSE,0,NA,14/03/2017 16:05,FALSE,NA,8.41682E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",l4ndy3,4,TRUE,FALSE,NA,NA
818,RT @BigDataExpo: Pentaho Ends Machine Learning Gridlock <U+25B8> https://t.co/dKd9vFfuWX @Pentaho #API #BigData #Analytics #DataScience #MachineLe…,FALSE,0,NA,14/03/2017 16:05,FALSE,NA,8.41682E+17,NA,"<a href=""https://github.com/mathias3/twitterBot"" rel=""nofollow"">hrabiaKent1</a>",hrabiaKent,20,TRUE,FALSE,NA,NA
819,RT @BigDataExpo: Pentaho Ends Machine Learning Gridlock <U+25B8> https://t.co/dKd9vFfuWX @Pentaho #API #BigData #Analytics #DataScience #MachineLe…,FALSE,0,NA,14/03/2017 16:04,FALSE,NA,8.41682E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",IoTJournal,20,TRUE,FALSE,NA,NA
820,RT @BigDataExpo: Pentaho Ends Machine Learning Gridlock <U+25B8> https://t.co/dKd9vFfuWX @Pentaho #API #BigData #Analytics #DataScience #MachineLe…,FALSE,0,NA,14/03/2017 16:03,FALSE,NA,8.41681E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DevOpsSummit,20,TRUE,FALSE,NA,NA
821,RT @BigDataExpo: Pentaho Ends Machine Learning Gridlock <U+25B8> https://t.co/dKd9vFfuWX @Pentaho #API #BigData #Analytics #DataScience #MachineLe…,FALSE,0,NA,14/03/2017 16:02,FALSE,NA,8.41681E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ThingsExpo,20,TRUE,FALSE,NA,NA
822,RT @BigDataExpo: Pentaho Ends Machine Learning Gridlock <U+25B8> https://t.co/dKd9vFfuWX @Pentaho #API #BigData #Analytics #DataScience #MachineLe…,FALSE,0,NA,14/03/2017 16:01,FALSE,NA,8.41681E+17,NA,"<a href=""http://www.itknowingness.com"" rel=""nofollow"">ttools it knowingness</a>",itknowingness,20,TRUE,FALSE,NA,NA
823,RT @BigDataExpo: Pentaho Ends Machine Learning Gridlock <U+25B8> https://t.co/dKd9vFfuWX @Pentaho #API #BigData #Analytics #DataScience #MachineLe…,FALSE,0,NA,14/03/2017 16:01,FALSE,NA,8.41681E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",CloudExpo,20,TRUE,FALSE,NA,NA
824,Pentaho Ends Machine Learning Gridlock <U+25B8> https://t.co/dKd9vFfuWX @Pentaho #API #BigData #Analytics #DataScience #MachineLearning,FALSE,25,NA,14/03/2017 16:01,FALSE,NA,8.41681E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BigDataExpo,20,FALSE,FALSE,NA,NA
825,"@pentaho wants to streamline the entire #ML flow and enable teams to train, tune, test and deploy predictive models. https://t.co/z80o10PoOc",FALSE,1,Pentaho,14/03/2017 15:58,FALSE,NA,8.4168E+17,20641938,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",NicksHarvey,0,FALSE,FALSE,NA,NA
826,#pentaho and #tableau power our #DataVis at https://t.co/IdQtKJlEDS - Join our BI team today:… https://t.co/YkkQp0SulF,FALSE,0,NA,14/03/2017 15:55,TRUE,NA,8.41679E+17,NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",studydotcomjobs,0,FALSE,FALSE,NA,NA
827,"RT @mattcasters: Great vibe at @HDScorp Kakushin Brussels event. Lots of 
@Pentaho and IoT mentions and interest. https://t.co/wFhutQktbp",FALSE,0,NA,14/03/2017 15:44,FALSE,NA,8.41677E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",know_bi,1,TRUE,FALSE,NA,NA
828,"#ArtificialIntelligence #AI How To Train A Machine Brain, Pentaho's 4 Pillars Of AI - Forbes … https://t.co/W6togRo2oM",FALSE,0,NA,14/03/2017 15:37,FALSE,NA,8.41675E+17,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",prady_b2b,0,FALSE,FALSE,NA,NA
829,"#ArtificialIntelligence #AI How To Train A Machine Brain, Pentaho's 4 Pillars Of AI - Forbes https://t.co/XLIbEPTNSS https://t.co/WiUegUrJ77",FALSE,0,NA,14/03/2017 15:35,FALSE,NA,8.41674E+17,NA,"<a href=""http://www.netvibes.com/"" rel=""nofollow"">Netvibes Widget</a>",Flanaganlyfe,0,FALSE,FALSE,NA,NA
830,Need to Brush up on Hadoop Skills? Download the Free Field Guide to #Hadoop! @Pentaho https://t.co/XbebE8IYyf,FALSE,0,NA,14/03/2017 15:34,FALSE,NA,8.41674E+17,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",OpenMarketingTV,0,FALSE,FALSE,NA,NA
831,"How To Train A Machine Brain, Pentaho's 4 Pillars Of AI

https://t.co/ICVx0MXWt6",FALSE,0,NA,14/03/2017 15:33,FALSE,NA,8.41674E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",donkcowan,0,FALSE,FALSE,NA,NA
832,"How To Train A Machine Brain, Pentaho's 4 Pillars Of AI https://t.co/PXkEgfrJhY <ed><U+00A0><U+00BD><ed><U+00B7><U+00A3>#Opines on #BigData",FALSE,1,NA,14/03/2017 15:31,FALSE,NA,8.41673E+17,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",BigDataBlogs,0,FALSE,FALSE,NA,NA
833,Pentaho Ends Machine Learning Gridlock https://t.co/slRuBFW5dQ <ed><U+00A0><U+00BD><ed><U+00B7><U+00A3>#Opines on #BigData,FALSE,0,NA,14/03/2017 15:31,FALSE,NA,8.41673E+17,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",BigDataBlogs,0,FALSE,FALSE,NA,NA
834,"How to build a smart data lake while avoiding the ‘dump’: https://t.co/gIHKapX9VI 
#analytics https://t.co/W08c9JFBY0",FALSE,0,NA,14/03/2017 15:30,FALSE,NA,8.41673E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",RTInsights,0,FALSE,FALSE,NA,NA
835,"How To Train A Machine Brain, Pentaho's 4 Pillars Of AI https://t.co/Z3jZkk3SIt",FALSE,1,NA,14/03/2017 15:29,FALSE,NA,8.41673E+17,NA,"<a href=""http://www.superinhuman.com/badkitty"" rel=""nofollow"">Bad Kitty</a>",ProgrammingWrld,0,FALSE,FALSE,NA,NA
836,Hadoop and the Analytic Data Pipeline - Pentaho https://t.co/zbS266YCnE via @Pentaho,FALSE,0,NA,14/03/2017 15:23,FALSE,NA,8.41671E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Nasri_Nabil,0,FALSE,FALSE,NA,NA
837,"How To Train A Machine Brain, Pentaho's 4 Pillars Of #AI  https://t.co/o9OmHrCyxp",FALSE,0,NA,14/03/2017 15:21,FALSE,NA,8.41671E+17,NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",Xav_DigitalMind,0,FALSE,FALSE,NA,NA
838,RT @Pentaho: We’ve got something exciting to kick off your week at #StrataHadoop San Jose - sit tight and check back tomorrow morning for s…,FALSE,0,NA,14/03/2017 15:16,FALSE,NA,8.41669E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mattcasters,4,TRUE,FALSE,NA,NA
839,RT @ubiquisBI: @Pentaho: Happy Pi Day! Check out our Monte Carlo simulator developed in PDI and using no scripting steps :) https://t.co/6M…,FALSE,0,NA,14/03/2017 15:15,FALSE,NA,8.41669E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mattcasters,1,TRUE,FALSE,NA,NA
840,RT @maslett: Pentaho launches orchestration capabilities to streamline machine learning workflow https://t.co/tbBbj2Wfqj,FALSE,0,NA,14/03/2017 15:15,FALSE,NA,8.41669E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kwatson49,2,TRUE,FALSE,NA,NA
841,"Great vibe at @HDScorp Kakushin Brussels event. Lots of 
@Pentaho and IoT mentions and interest. https://t.co/wFhutQktbp",FALSE,2,NA,14/03/2017 15:15,FALSE,NA,8.41669E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mattcasters,1,FALSE,FALSE,NA,NA
842,@Pentaho: Happy Pi Day! Check out our Monte Carlo simulator developed in PDI and using no scripting steps :) https://t.co/6MeA2qK5Qe,FALSE,2,Pentaho,14/03/2017 15:13,FALSE,NA,8.41669E+17,20641938,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ubiquisBI,1,FALSE,FALSE,NA,NA
843,"How To Train A Machine Brain, Pentaho's 4 Pillars Of AI - Forbes https://t.co/ssJ5cNw6w1",FALSE,0,NA,14/03/2017 15:11,FALSE,NA,8.41668E+17,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",HumanBehavior24,0,FALSE,FALSE,NA,NA
844,"How To Train A Machine Brain, Pentaho's 4 Pillars Of AI https://t.co/nJqKIpMzpT Follow:  https://t.co/lLJ4M9wxxH https://t.co/BSYK4snBzV",FALSE,0,NA,14/03/2017 15:05,FALSE,NA,8.41667E+17,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Catalyst_AI,0,FALSE,FALSE,NA,NA
845,"How To Train A Machine Brain, Pentaho's 4 Pillars Of AI https://t.co/byBRQ9dEyn",FALSE,0,NA,14/03/2017 15:02,FALSE,NA,8.41666E+17,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Lucas_Wyrsch,0,FALSE,FALSE,NA,NA
846,"Start your #BigData Journey with #Cloudera, #Docker and #Pentaho BA https://t.co/DDWvbs7Xhh #hadoop https://t.co/7WILXBNaXv",FALSE,1,NA,14/03/2017 15:00,FALSE,NA,8.41665E+17,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",GavLaaaaaaaa,0,FALSE,FALSE,NA,NA
847,"How To Train A Machine Brain, Pentaho's 4 Pillars Of AI https://t.co/6UY5WosPn7 https://t.co/kBciZPMVxv",FALSE,0,NA,14/03/2017 14:51,FALSE,NA,8.41663E+17,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",MSocMed,0,FALSE,FALSE,NA,NA
848,"RT @lateral_ai: How To Train A Machine Brain, Pentaho's 4 Pillars Of AI https://t.co/j1CV40Gndc #AI",FALSE,0,NA,14/03/2017 14:49,FALSE,NA,8.41663E+17,NA,"<a href=""http://www.idealfutures.com/"" rel=""nofollow"">digitalbot</a>",_digitalfutures,1,TRUE,FALSE,NA,NA
849,"How To Train A Machine Brain, Pentaho's 4 Pillars Of AI https://t.co/j1CV40Gndc #AI",FALSE,0,NA,14/03/2017 14:49,FALSE,NA,8.41663E+17,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",lateral_ai,1,FALSE,FALSE,NA,NA
850,RT @rshomair: NEWS today from @Pentaho--&gt;Pentaho Ends Machine Learning Gridlock. Learn the 4 key steps https://t.co/iJgR3SIcxQ https://t.co…,FALSE,0,NA,14/03/2017 14:47,FALSE,NA,8.41662E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",cpakstys,4,TRUE,FALSE,NA,NA
851,RT @rshomair: NEWS today from @Pentaho--&gt;Pentaho Ends Machine Learning Gridlock. Learn the 4 key steps https://t.co/iJgR3SIcxQ https://t.co…,FALSE,0,NA,14/03/2017 14:46,FALSE,NA,8.41662E+17,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>",satranluv,4,TRUE,FALSE,NA,NA
852,RT @rshomair: NEWS today from @Pentaho--&gt;Pentaho Ends Machine Learning Gridlock. Learn the 4 key steps https://t.co/iJgR3SIcxQ https://t.co…,FALSE,0,NA,14/03/2017 14:46,FALSE,NA,8.41662E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mattcasters,4,TRUE,FALSE,NA,NA
853,"Helping Machines Learn Better | How To Train A Machine Brain, Pentaho's 4 Pillars Of AI | Forbes… https://t.co/6GgEsZBKQE",FALSE,0,NA,14/03/2017 14:42,TRUE,NA,8.41661E+17,NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",K4Kats,0,FALSE,FALSE,NA,NA
854,"How To Train A Machine Brain, Pentaho's 4 Pillars Of AI https://t.co/B3IPoKNJml",FALSE,0,NA,14/03/2017 14:39,FALSE,NA,8.4166E+17,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",darylelockhart,0,FALSE,FALSE,NA,NA
855,"How To Train A Machine Brain, Pentaho's 4 Pillars Of AI https://t.co/HtdTBfKS1I https://t.co/8GiRgZynT7",FALSE,0,NA,14/03/2017 14:39,FALSE,NA,8.4166E+17,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",itnewsforyou,0,FALSE,FALSE,NA,NA
856,"How To Train A Machine Brain, Pentaho's 4 Pillars Of AI https://t.co/9QNY7uIznc https://t.co/ccESmKXwkW",FALSE,0,NA,14/03/2017 14:39,FALSE,NA,8.4166E+17,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",TOPTECHTIP,0,FALSE,FALSE,NA,NA
857,"How To Train A Machine Brain, Pentaho's 4 Pillars Of AI https://t.co/qSjfoxyovh https://t.co/NYrofDlk55",FALSE,0,NA,14/03/2017 14:39,FALSE,NA,8.4166E+17,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",MrTechInc,0,FALSE,FALSE,NA,NA
858,RT @maslett: Pentaho launches orchestration capabilities to streamline machine learning workflow https://t.co/tbBbj2Wfqj,FALSE,0,NA,14/03/2017 14:38,FALSE,NA,8.4166E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JackVaughanatTT,2,TRUE,FALSE,NA,NA
859,"How To Train A Machine Brain, Pentaho's 4 Pillars Of AI https://t.co/VdPBTKLmyM #news #tech https://t.co/swFofV3kZQ",FALSE,0,NA,14/03/2017 14:38,FALSE,NA,8.4166E+17,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",everiting,0,FALSE,FALSE,NA,NA
860,Pentaho launches orchestration capabilities to streamline machine learning workflow https://t.co/tbBbj2Wfqj,FALSE,1,NA,14/03/2017 14:38,FALSE,NA,8.4166E+17,NA,"<a href=""http://sites.google.com/site/yorufukurou/"" rel=""nofollow"">YoruFukurou</a>",maslett,2,FALSE,FALSE,NA,NA
861,"How To Train A Machine Brain, Pentaho's 4 Pillars Of AI https://t.co/i66BahtEQc https://t.co/nakW0poX4g",FALSE,0,NA,14/03/2017 14:36,FALSE,NA,8.41659E+17,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",CHINTAN_27,0,FALSE,FALSE,NA,NA
862,"How To Train A Machine Brain, Pentaho's 4 Pillars Of AI https://t.co/xtktPHVx0y https://t.co/ywZJ5hAxHR",FALSE,0,NA,14/03/2017 14:33,FALSE,NA,8.41658E+17,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",danieladias1973,0,FALSE,FALSE,NA,NA
